=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.10.03 13:25:09 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	1065	1078	1047
1	overflow


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
637	32	3	21
638	34	11	22
639	3	20	31
640	3	21	31
641	3	20	32
642	21	33	12
643	32	3	21
644	11	20	33
645	33	11	21
646	11	23	35
647	21	34	11
648	32	3	21
649	21	32	3
650	33	11	20
651	34	12	22
652	32	3	21
653	11	20	33
654	11	24	36
655	3	20	31
656	35	11	21
657	35	12	22
658	22	34	12
659	23	36	11
660	11	25	38
661	12	21	34
662	20	32	11
663	31	3	21
664	11	20	32
665	31	3	21
666	22	35	12
667	24	37	11
668	34	11	22
669	23	36	11
670	32	3	21
671	12	25	37
672	23	35	11
673	22	35	12
674	11	24	37
675	32	11	20
676	23	36	11
677	21	31	3
678	3	21	33
679	36	12	24
680	11	22	34
681	32	3	21
682	32	11	20
683	24	37	12
684	32	3	21
685	38	11	25
686	38	12	24
687	34	11	21
688	24	37	12
689	23	35	11
690	22	31	4
691	12	21	36
692	11	21	35
693	12	21	34
694	34	12	21
695	11	20	33
696	20	32	11
697	32	3	21
698	21	33	12
699	11	22	35
700	23	36	12
701	21	32	3
702	4	21	33
703	11	23	35
704	3	21	32
705	35	11	22
706	21	31	3
707	12	24	37
708	23	36	11
709	23	36	12
710	32	3	21
711	11	20	33
712	24	36	12
713	38	11	26
714	21	34	11
715	21	34	11
716	21	31	3
717	21	34	12
718	21	33	11
719	32	3	21
720	23	36	12
721	31	3	21
722	21	33	3
723	11	20	32
724	23	35	11
725	23	36	11
726	33	11	21
727	23	35	12
728	21	31	3
729	25	37	12
730	11	23	37
731	11	20	33
732	32	3	21
733	22	33	4
734	26	38	12
735	11	21	34
736	36	11	23
737	11	20	32
738	12	22	34
739	11	20	33
740	36	11	23
741	22	34	12
742	23	35	11
743	21	34	11
744	35	11	23
745	36	11	24
746	23	36	11
747	12	20	33
748	24	37	11
749	22	35	11
750	11	20	33
751	3	21	31
752	21	33	11
753	12	25	37
754	32	3	21
755	3	21	32
756	12	25	37
757	31	4	21
758	11	23	36
759	3	20	31
760	11	24	37
761	32	11	20
762	32	3	21
763	20	32	11
764	3	20	30
765	23	37	11
766	22	35	11
767	11	23	36
768	33	11	20
769	11	21	35
770	34	11	21
771	36	12	23
772	3	21	30
773	31	3	21
774	12	25	37
775	34	12	21
776	23	35	12
777	32	4	21
778	32	11	20
779	21	32	3
780	11	22	34
781	36	12	24
782	22	31	4
783	33	11	21
784	36	12	24
785	11	22	34
786	11	20	32
787	31	3	21
788	21	33	12
789	37	12	25
790	36	11	24
791	20	32	11
792	11	23	35
793	22	35	11
794	33	11	21
795	11	21	34
796	11	24	38
797	21	33	11
798	36	11	24
799	33	11	21
800	33	11	20
801	3	21	31
802	20	32	11
803	31	3	21
804	23	36	11
805	32	11	20
806	11	24	36
807	21	34	11
808	11	22	34
809	12	22	36
810	21	31	3
811	36	11	24
812	24	37	11
813	11	23	37
814	35	11	23
815	35	11	22
816	21	32	11
817	11	25	38
818	21	32	11
819	33	11	20
820	11	23	36
821	12	21	34
822	3	20	31
823	11	20	33
824	11	23	36
825	21	31	3
826	22	34	11
827	11	23	35
828	32	3	21
829	37	12	25
830	3	20	32
831	21	34	12
832	33	11	20
833	32	3	21
834	32	4	21
835	24	37	11
836	33	12	21
837	32	11	20
838	26	39	12
839	11	20	33
840	21	32	11
841	4	21	31
842	24	37	12
843	12	21	34
844	12	21	33
845	11	24	37
846	11	22	35
847	3	21	32
848	21	33	11
849	34	11	22
850	37	11	24
851	32	3	21
852	22	34	11
853	3	21	33
854	48	11	21
855	3	21	32
856	12	25	37
857	31	3	21
858	32	3	21
859	31	3	21
860	12	20	34
861	20	33	11
862	37	11	25
863	22	35	11
864	25	37	12
865	11	21	34
866	3	21	31
867	3	21	33
868	22	34	11
869	33	3	21
870	11	20	33
871	21	32	3
872	11	23	36
873	22	34	12
874	34	11	22
875	31	3	21
876	20	33	11
877	21	33	11
878	21	33	11
879	25	37	12
880	21	32	3
881	36	11	23
882	31	3	21
883	24	36	11
884	11	20	33
885	11	22	35
886	11	23	36
887	3	21	32
888	35	12	23
889	21	32	3
890	11	20	33
891	23	37	11
892	32	11	21
893	12	20	35
894	25	37	12
895	33	3	21
896	11	23	36
897	36	12	24
898	37	12	25
899	31	3	21
900	33	3	21
901	35	11	22
902	11	22	35
903	31	3	21
904	35	11	22
905	31	3	21
906	32	3	21
907	32	11	20
908	11	20	33
909	4	21	31
910	12	21	33
911	21	32	3
912	21	32	3
913	23	36	11
914	11	20	32
915	11	25	37
916	32	3	21
917	32	11	20
918	21	32	3
919	11	22	35
920	24	37	11
921	3	21	31
922	21	30	3
923	11	22	35
924	32	11	20
925	11	22	35
926	11	20	33
927	32	3	21
928	24	36	11
929	11	25	37
930	21	33	11
931	11	22	35
932	3	21	31
933	11	23	36
934	24	36	12
935	31	3	21
936	11	24	37
937	11	21	34
938	31	3	21
939	3	21	34
940	31	3	21
941	34	12	21
942	11	24	37
943	21	32	12
944	12	21	33
945	31	4	21
946	37	11	24
947	31	3	21
948	11	23	36
949	21	32	3
950	38	11	25
951	34	11	21
952	11	20	33
953	34	11	21
954	34	12	22
955	35	11	23
956	31	3	21
957	33	3	21
958	11	24	37
959	21	32	3
960	11	22	35
961	38	12	26
962	38	12	26
963	11	20	33
964	11	22	35
965	31	3	21
966	11	24	37
967	11	24	36
968	32	3	21
969	24	36	11
970	21	31	3
971	12	23	38
972	31	3	21
973	22	35	11
974	33	11	20
975	11	21	34
976	3	21	32
977	11	22	35
978	22	35	11
979	37	12	25
980	11	24	36
981	11	20	33
982	11	23	35
983	33	12	21
984	22	35	11
985	11	22	35
986	11	21	34
987	22	35	11
988	3	20	32
989	36	11	24
990	11	21	34
991	22	34	11
992	28	41	15
993	23	36	11
994	3	20	31
995	3	20	32
996	21	31	3
997	12	23	40
998	21	33	11
999	11	22	35
