=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:13:54 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
915	663	651	674
916	223	234	211
917	340	364	353
918	313	302	289
919	159	148	135
920	355	369	379
921	631	618	642
922	236	260	250
923	1011	1002	991
924	394	380	367
925	931	943	954
926	435	447	459
927	1051	1075	1064
928	496	520	509
929	786	774	797
930	801	825	814
931	693	717	706
932	23	35	46
933	237	247	257
934	913	900	924
935	295	284	271
936	706	718	729
937	757	733	746
938	260	271	247
939	213	224	200
940	691	658	670
941	357	380	370
942	403	392	380
943	1023	1010	1034
944	185	197	209
945	195	186	176
946	183	194	170
947	646	669	658
948	452	429	442
949	883	895	906
950	775	799	789
951	1066	1041	1055
952	172	195	184
953	233	257	247
954	980	970	957
955	628	615	592
956	659	648	635
957	970	980	993
958	327	314	338
959	678	693	662
960	613	637	626
961	704	691	714
962	639	663	652
963	815	803	826
964	201	212	188
965	315	305	292
966	1066	1077	1054
967	557	547	534
968	608	584	597
969	532	556	545
970	982	959	972
971	196	172	185
972	78	67	55
973	681	657	671
974	588	576	599
975	729	718	706
976	772	785	796
977	1059	1048	1035
978	380	391	367
979	309	295	318
980	526	513	537
981	964	977	988
982	740	729	717
983	93	69	82
984	62	72	49
985	1040	1051	1028
986	752	741	728
987	432	421	408
988	587	611	600
989	482	471	459
990	771	790	805
991	523	499	513
992	70	57	82
993	182	192	169
994	514	490	504
995	176	189	200
996	65	54	41
997	140	127	151
998	61	50	37
999	1060	1047	1070
