=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:11:54 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
929	356	656	666
930	763	37	47
931	261	632	642
932	566	942	952
933	218	604	614
934	949	273	283
935	36	437	447
936	947	290	300
937	444	854	864
938	450	866	877
939	11	429	439
940	854	210	221
941	408	844	854
942	866	236	246
943	509	919	930
944	661	1043	1053
945	692	1064	1075
946	218	622	633
947	1039	409	419
948	186	629	640
949	368	817	827
950	285	747	757
951	447	905	916
952	189	653	663
953	597	1069	3
954	848	252	263
955	575	1056	1066
956	123	609	619
957	694	109	119
958	30	498	508
959	745	113	123
960	418	860	870
961	301	778	788
962	864	267	277
963	87	528	538
964	356	798	808
965	312	790	800
966	737	145	155
967	825	265	275
968	327	867	876
969	933	408	418
970	768	212	223
971	24	511	522
972	762	151	161
973	204	668	678
974	215	691	701
975	823	265	275
976	447	988	998
977	582	86	97
978	978	481	491
979	552	54	64
980	284	853	863
981	900	373	383
982	690	135	146
983	374	856	866
984	309	798	808
985	272	764	774
986	697	101	111
987	779	181	192
988	574	1017	1027
989	963	310	320
990	475	896	907
991	610	18	29
992	211	695	705
993	785	208	218
994	584	16	26
995	658	90	100
996	748	151	161
997	395	867	877
998	352	829	839
999	98	582	592
